SUBCATEGORIA;DESCR_SUBCAT;DESCRABREV;CATEGORIA;DESCR_CAT;GRUPO;CAPITULO
C189;Neoplasia maligna do cólon, não especificado;C18.9 Colon NE;C18;Neoplasia maligna do cólon;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C19;Neoplasia maligna da junção retossigmóide;C19   Neopl malig da juncao retossigmoide;C19;Neoplasia maligna da junção retossigmóide;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C20;Neoplasia maligna do reto;C20   Neopl malig do reto;C20;Neoplasia maligna do reto;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C210;Neoplasia maligna do ânus, não especificado;C21.0 Anus NE;C21;Neoplasia maligna do ânus e do canal anal;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C211;Neoplasia maligna do canal anal;C21.1 Canal anal;C21;Neoplasia maligna do ânus e do canal anal;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C212;Neoplasia maligna da zona cloacogênica;C21.2 Zona cloacogenica;C21;Neoplasia maligna do ânus e do canal anal;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C218;Neoplasia maligna do reto, ânus e do canal anal com lesão invasiva;C21.8 Lesao invasiva do reto anus e do canal anal;C21;Neoplasia maligna do ânus e do canal anal;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C220;Carcinoma de células hepáticas;C22.0 Carcinoma de celulas hepaticas;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C221;Carcinoma de vias biliares intra-hepáticas;C22.1 Carcinoma de vias biliares intra-hepaticas;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C222;Hepatoblastoma;C22.2 Hepatoblastoma;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C223;Angiossarcoma do fígado;C22.3 Angiossarcoma do figado;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C224;Outros sarcomas do fígado;C22.4 Outr sarcomas do figado;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C227;Outros carcinomas especificados do fígado;C22.7 Outr carcinomas espec do figado;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C229;Neoplasia maligna do fígado, não especificada;C22.9 Neopl malig do figado NE;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C23;Neoplasia maligna da vesícula biliar;C23   Neopl malig da vesicula biliar;C23;Neoplasia maligna da vesícula biliar;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C240;Neoplasia maligna das vias biliares extra-hepáticas;C24.0 Vias biliares extra-hepaticas;C24;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C241;Neoplasia maligna da ampola de Vater;C24.1 Ampola de Vater;C24;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C248;Neoplasia maligna das vias biliares com lesão invasiva;C24.8 Lesao invasiva das vias biliares;C24;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C249;Neoplasia maligna da via biliar, não especificada;C24.9 Via biliar NE;C24;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C250;Neoplasia maligna da cabeça do pâncreas;C25.0 Cabeca do pancreas;C25;Neoplasia maligna do pâncreas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C251;Neoplasia maligna do corpo do pâncreas;C25.1 Corpo do pancreas;C25;Neoplasia maligna do pâncreas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C252;Neoplasia maligna da cauda do pâncreas;C25.2 Cauda do pancreas;C25;Neoplasia maligna do pâncreas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C253;Neoplasia maligna do canal pancreático;C25.3 Canal pancreatico;C25;Neoplasia maligna do pâncreas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C254;Neoplasia maligna do pâncreas endócrino;C25.4 Pancreas endocrino;C25;Neoplasia maligna do pâncreas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C257;Neoplasia maligna de outras partes do pâncreas;C25.7 Neopl malig de outr partes do pancreas;C25;Neoplasia maligna do pâncreas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C258;Neoplasia maligna do pâncreas com lesão invasiva;C25.8 Lesao invasiva do pancreas;C25;Neoplasia maligna do pâncreas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C259;Neoplasia maligna do pâncreas, não especificado;C25.9 Pancreas NE;C25;Neoplasia maligna do pâncreas;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C260;Neoplasia maligna do trato intestinal, parte não especificada;C26.0 Trato intestinal parte NE;C26;Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C261;Neoplasia maligna do baço;C26.1 Baco;C26;Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C268;Neoplasia maligna do aparelho digestivo com lesão invasiva;C26.8 Lesao invasiva do aparelho digestivo;C26;Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C269;Neoplasia maligna de localizações mal definidas dentro do aparelho digestivo;C26.9 Localiz mal def dentro aparelho digestivo;C26;Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo;Neoplasias malignas dos órgãos digestivos;Neoplasias [tumores]
C300;Neoplasia maligna da cavidade nasal;C30.0 Cavidade nasal;C30;Neoplasia maligna da cavidade nasal e do ouvido médio;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C301;Neoplasia maligna do ouvido médio;C30.1 Ouvido medio;C30;Neoplasia maligna da cavidade nasal e do ouvido médio;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C310;Neoplasia maligna do seio maxilar;C31.0 Seio maxilar;C31;Neoplasia maligna dos seios da face;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C311;Neoplasia maligna do seio etmoidal;C31.1 Seio etmoidal;C31;Neoplasia maligna dos seios da face;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C312;Neoplasia maligna do seio frontal;C31.2 Seio frontal;C31;Neoplasia maligna dos seios da face;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C313;Neoplasia maligna do seio esfenoidal;C31.3 Seio esfenoidal;C31;Neoplasia maligna dos seios da face;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C318;Neoplasia maligna dos seios da face com lesão invasiva;C31.8 Lesao invasiva dos seios da face;C31;Neoplasia maligna dos seios da face;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C319;Neoplasia maligna do seio da face, não especificado;C31.9 Seio da face NE;C31;Neoplasia maligna dos seios da face;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C320;Neoplasia maligna da glote;C32.0 Glote;C32;Neoplasia maligna da laringe;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C321;Neoplasia maligna da região supraglótica;C32.1 Regiao supraglotica;C32;Neoplasia maligna da laringe;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C322;Neoplasia maligna da região subglótica;C32.2 Regiao subglotica;C32;Neoplasia maligna da laringe;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C323;Neoplasia maligna das cartilagens da laringe;C32.3 Cartilagens da laringe;C32;Neoplasia maligna da laringe;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C328;Neoplasia maligna da laringe com lesão invasiva;C32.8 Lesao invasiva da laringe;C32;Neoplasia maligna da laringe;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C329;Neoplasia maligna da laringe, não especificada;C32.9 Laringe NE;C32;Neoplasia maligna da laringe;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C33;Neoplasia maligna da traquéia;C33   Neopl malig da traqueia;C33;Neoplasia maligna da traquéia;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C340;Neoplasia maligna do brônquio principal;C34.0 Bronquio principal;C34;Neoplasia maligna dos brônquios e dos pulmões;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C341;Neoplasia maligna do lobo superior, brônquio ou pulmão;C34.1 Lobo super bronquio ou pulmao;C34;Neoplasia maligna dos brônquios e dos pulmões;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C342;Neoplasia maligna do lobo médio, brônquio ou pulmão;C34.2 Lobo medio bronquio ou pulmao;C34;Neoplasia maligna dos brônquios e dos pulmões;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C343;Neoplasia maligna do lobo inferior, brônquio ou pulmão;C34.3 Lobo infer bronquio ou pulmao;C34;Neoplasia maligna dos brônquios e dos pulmões;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C348;Neoplasia maligna dos brônquios e dos pulmões com lesão invasiva;C34.8 Lesao invasiva dos bronquios e dos pulmoes;C34;Neoplasia maligna dos brônquios e dos pulmões;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C349;Neoplasia maligna dos brônquios ou pulmões, não especificado;C34.9 Bronquios ou pulmoes NE;C34;Neoplasia maligna dos brônquios e dos pulmões;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C37;Neoplasia maligna do timo;C37   Neopl malig do timo;C37;Neoplasia maligna do timo;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C380;Neoplasia maligna do coração;C38.0 Coracao;C38;Neoplasia maligna do coração, mediastino e pleura;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C381;Neoplasia maligna do mediastino anterior;C38.1 Mediastino anterior;C38;Neoplasia maligna do coração, mediastino e pleura;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C382;Neoplasia maligna do mediastino posterior;C38.2 Mediastino posterior;C38;Neoplasia maligna do coração, mediastino e pleura;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C383;Neoplasia maligna do mediastino, porção não especificada;C38.3 Mediastino porcao NE;C38;Neoplasia maligna do coração, mediastino e pleura;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C384;Neoplasia maligna da pleura;C38.4 Pleura;C38;Neoplasia maligna do coração, mediastino e pleura;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C388;Neoplasia maligna do coração, mediastino e pleura com lesão invasiva;C38.8 Lesao invasiva coracao mediastino e pleura;C38;Neoplasia maligna do coração, mediastino e pleura;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C390;Neoplasia maligna do trato respiratório superior, porção não especificada;C39.0 Trato respirat super porcao NE;C39;Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C398;Neoplasia maligna do aparelho respiratório e dos órgãos intratorácicos com lesão invasiva;C39.8 Lesao invasiva ap respirat org intratoracic;C39;Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C399;Neoplasia maligna de localizações mal definidas do aparelho respiratório;C39.9 Localiz mal definidas do aparelho respirat;C39;Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos;Neoplasias [tumores]
C400;Neoplasia maligna da omoplata [escápula] e ossos longos dos membros superiores;C40.0 Omoplata e ossos longos dos membros super;C40;Neoplasia maligna dos ossos e cartilagens articulares dos membros;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C401;Neoplasia maligna dos ossos curtos dos membros superiores;C40.1 Ossos curtos dos membros super;C40;Neoplasia maligna dos ossos e cartilagens articulares dos membros;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C402;Neoplasia maligna dos ossos longos dos membros inferiores;C40.2 Ossos longos dos membros infer;C40;Neoplasia maligna dos ossos e cartilagens articulares dos membros;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C403;Neoplasia maligna dos ossos curtos dos membros inferiores;C40.3 Ossos curtos dos membros infer;C40;Neoplasia maligna dos ossos e cartilagens articulares dos membros;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C408;Neoplasia maligna dos ossos e cartilagens articulares dos membros com lesão invasiva;C40.8 Lesao invasiva ossos/cartilag artic membros;C40;Neoplasia maligna dos ossos e cartilagens articulares dos membros;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C409;Neoplasia maligna dos ossos e cartilagens articulares de membro não especificado;C40.9 Ossos e cartilagens articulares de membro NE;C40;Neoplasia maligna dos ossos e cartilagens articulares dos membros;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C410;Neoplasia maligna dos ossos do crânio e da face;C41.0 Ossos do cranio e da face;C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C411;Neoplasia maligna da mandíbula;C41.1 Mandibula;C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C412;Neoplasia maligna da coluna vertebral;C41.2 Coluna vertebral;C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C413;Neoplasia maligna das costelas, esterno e clavícula;C41.3 Costelas esterno e clavicula;C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C414;Neoplasia maligna dos ossos da pelve, sacro e cóccix;C41.4 Ossos da pelve sacro e coccix;C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C418;Neoplasia maligna dos ossos e das cartilagens articulares com lesão invasiva;C41.8 Lesao invasiva ossos e cartilag articulares;C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C419;Neoplasia maligna dos ossos e cartilagens articulares, não especificados;C41.9 Ossos e cartilagens articulares NE;C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;Neoplasias malignas dos ossos e das cartilagens articulares;Neoplasias [tumores]
C430;Melanoma maligno do lábio;C43.0 Melanoma malig do labio;C43;Melanoma maligno da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C431;Melanoma maligno da pálpebra, incluindo as comissuras palpebrais;C43.1 Melanoma malig palpebra incl comiss palpebr;C43;Melanoma maligno da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C432;Melanoma maligno da orelha e do conduto auditivo externo;C43.2 Melanoma malig orelha conduto auditiv extern;C43;Melanoma maligno da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C433;Melanoma maligno de outras partes e partes não especificadas da face;C43.3 Melanoma malig outr partes e NE da face;C43;Melanoma maligno da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C434;Melanoma maligno do couro cabeludo e do pescoço;C43.4 Melanoma malig couro cabeludo e do pescoco;C43;Melanoma maligno da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C435;Melanoma maligno do tronco;C43.5 Melanoma maligno do tronco;C43;Melanoma maligno da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C436;Melanoma maligno do membro superior, incluindo ombro;C43.6 Melanoma maligno do membro super incl ombro;C43;Melanoma maligno da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C437;Melanoma maligno do membro inferior, incluindo quadril;C43.7 Melanoma maligno membro infer incl quadril;C43;Melanoma maligno da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C438;Melanoma maligno invasivo da pele;C43.8 Melanoma maligno invasivo da pele;C43;Melanoma maligno da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C439;Melanoma maligno de pele, não especificado;C43.9 Melanoma maligno de pele NE;C43;Melanoma maligno da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C440;Neoplasia maligna da pele do lábio;C44.0 Pele do labio;C44;Outras neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C441;Neoplasia maligna da pele da pálpebra, incluindo o canto;C44.1 Pele da palpebra incl o canto;C44;Outras neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C442;Neoplasia maligna da pele da orelha e do conduto auditivo externo;C44.2 Pele da orelha e do conduto auditivo externo;C44;Outras neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C443;Neoplasia maligna da pele de outras partes e de partes não especificadas da face;C44.3 Pele de outr partes e de partes NE da face;C44;Outras neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C444;Neoplasia maligna da pele do couro cabeludo e do pescoço;C44.4 Pele do couro cabeludo e do pescoco;C44;Outras neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C445;Neoplasia maligna da pele do tronco;C44.5 Pele do tronco;C44;Outras neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C446;Neoplasia maligna da pele do membro superior, incluindo ombro;C44.6 Pele do membro super incl ombro;C44;Outras neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C447;Neoplasia maligna da pele do membro inferior, incluindo quadril;C44.7 Pele do membro infer incl quadril;C44;Outras neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C448;Neoplasia maligna da pele com lesão invasiva;C44.8 Lesao invasiva da pele;C44;Outras neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C449;Neoplasia maligna da pele, não especificada;C44.9 Neopl malig da pele NE;C44;Outras neoplasias malignas da pele;Melanoma e outras(os) neoplasias malignas da pele;Neoplasias [tumores]
C450;Mesotelioma da pleura;C45.0 Mesotelioma da pleura;C45;Mesotelioma;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C451;Mesotelioma do peritônio;C45.1 Mesotelioma do peritonio;C45;Mesotelioma;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C452;Mesotelioma do pericárdio;C45.2 Mesotelioma do pericardio;C45;Mesotelioma;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C457;Mesotelioma de outras localizações;C45.7 Mesotelioma de outr localiz;C45;Mesotelioma;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C459;Mesotelioma, não especificado;C45.9 Mesotelioma NE;C45;Mesotelioma;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C460;Sarcoma de Kaposi da pele;C46.0 Sarcoma de Kaposi da pele;C46;Sarcoma de Kaposi;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C461;Sarcoma de Kaposi de tecidos moles;C46.1 Sarcoma de Kaposi de tec moles;C46;Sarcoma de Kaposi;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C462;Sarcoma de Kaposi do palato;C46.2 Sarcoma de Kaposi do palato;C46;Sarcoma de Kaposi;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C463;Sarcoma de Kaposi dos gânglios linfáticos;C46.3 Sarcoma de Kaposi dos ganglios linfaticos;C46;Sarcoma de Kaposi;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C467;Sarcoma de Kaposi de outras localizações;C46.7 Sarcoma de Kaposi de outr localiz;C46;Sarcoma de Kaposi;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C468;Sarcoma de Kaposi de múltiplos órgãos;C46.8 Sarcoma de Kaposi de mult orgaos;C46;Sarcoma de Kaposi;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C469;Sarcoma de Kaposi, não especificado;C46.9 Sarcoma de Kaposi NE;C46;Sarcoma de Kaposi;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C470;Neoplasia maligna dos nervos periféricos da cabeça, face e pescoço;C47.0 Nervos perifericos da cabeca face e pescoco;C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C471;Neoplasia maligna dos nervos periféricos dos membros superiores, incluindo ombro;C47.1 Nervos perifericos membros super incl ombro;C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C472;Neoplasia maligna dos nervos periféricos dos membros inferiores, incluindo quadril;C47.2 Nervos periferic membros infer incl quadril;C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C473;Neoplasia maligna dos nervos periféricos do tórax;C47.3 Nervos perifericos do torax;C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C474;Neoplasia maligna dos nervos periféricos do abdome;C47.4 Nervos perifericos do abdome;C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C475;Neoplasia maligna dos nervos periféricos da pelve;C47.5 Nervos perifericos da pelve;C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C476;Neoplasia maligna dos nervos periféricos do tronco;C47.6 Nervos perifericos do tronco;C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C478;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo com lesão invasiva;C47.8 Lesao invasiva nervos perif e sist nerv auto;C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C479;Neoplasia maligna dos nervos periféricos e sistema nervoso autônomo, não especificados;C47.9 Nervos perifericos e sist nerv autonomo NE;C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C480;Neoplasia maligna do retroperitônio;C48.0 Retroperitonio;C48;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C481;Neoplasia maligna de partes especificadas do peritônio;C48.1 Partes espec do peritonio;C48;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C482;Neoplasia maligna do peritônio;C48.2 Peritonio;C48;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C488;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio com lesão invasiva;C48.8 Lesao invasiva tec moles retro- e peritonio;C48;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C490;Neoplasia maligna do tecido conjuntivo e tecidos moles da cabeça, face e pescoço;C49.0 Tec conjuntivo e moles cabeca face e pescoco;C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C491;Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros superiores, incluindo ombro;C49.1 Tec conjuntivo e moles membr sup incl ombro;C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C492;Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros inferiores, incluindo quadril;C49.2 Tec conjuntivo e moles membr inf incl quadr;C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C493;Neoplasia maligna do tecido conjuntivo e tecidos moles do tórax;C49.3 Tec conjuntivo e tec moles do torax;C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C494;Neoplasia maligna do tecido conjuntivo e tecidos moles do abdome;C49.4 Tec conjuntivo e tec moles do abdome;C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C495;Neoplasia maligna do tecido conjuntivo e tecidos moles da pelve;C49.5 Tec conjuntivo e tec moles da pelve;C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C496;Neoplasia maligna do tecido conjuntivo e tecidos moles do tronco;C49.6 Tec conjuntivo e tec moles do tronco;C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C498;Neoplasia maligna do tecido conjuntivo e dos tecidos moles com lesão invasiva;C49.8 Lesao invasiva tec conjuntivo e tec moles;C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
C499;Neoplasia maligna do tecido conjuntivo e tecidos moles, não especificados;C49.9 Neopl malig tec conjuntivo e tec moles NE;C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;Neoplasias malignas do tecido mesotelial e tecidos moles;Neoplasias [tumores]
